,City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
1310,san policarpo,ph,12.394215392825231,126.84382234228059,75.45,100,92,13.67
1311,trento,it,46.21894951250391,11.053537473639011,42.8,30,40,3.36
1313,ternate,id,2.5874418337577367,128.31637116529254,80.4,100,100,10.42
1315,kanigiri,in,15.209202423690613,79.41469344057833,84.63,58,80,9.98
1321,semiletka,ru,55.36645529995329,54.70230930880527,30.63,94,88,12.44
1329,rolim de moura,br,-12.506107680099205,-62.469606858759064,No Data from API,No Data from API,No Data from API,No Data from API
1335,abalak,ne,16.280616304987788,6.110639178653912,99.03,17,0,10.42
1342,poronaysk,ru,49.264723552534235,144.03405249604185,28.87,76,24,3.38
1347,san zenon,co,9.330048156212214,-74.22462507023718,86.43,73,0,2.48
1350,cap malheureux,mu,-15.516028756902315,58.170724056703506,82.4,69,75,3.36
1352,haines junction,ca,61.071047014112,-143.26570006545964,2.5,76,80,1.92
1355,makakilo city,us,8.044611927322208,-166.46172596072492,66.69,93,75,3.36
1359,redcar,gb,54.61437597662598,-1.0615309112201317,52.16,76,75,8.05
1362,boyolangu,id,-10.34228683940266,111.65445142141112,73.87,87,64,5.39
1369,santa maria,cv,19.86257838361665,-22.641800928960066,76.03,57,40,16.11
1374,saint-paul,re,-21.120841322039354,53.57473183197919,78.84,73,90,4.7
1376,kaeo,nz,-29.862580515452876,175.5581214478401,60.6,89,68,6.73
1383,saryshagan,kz,45.26689007529066,74.24457156836047,No Data from API,No Data from API,No Data from API,No Data from API
1400,turbat,pk,27.204816638879677,64.23586706626295,87.78,9,0,5.39
1402,lebowakgomo,za,-24.047345764257884,29.69590778671966,73.4,56,20,6.93
1403,khani,ru,57.18628515060527,122.0535022068446,No Data from API,No Data from API,No Data from API,No Data from API
1405,sibut,cf,5.744282761530627,18.739492774090593,91.42,53,0,7.96
1409,cheuskiny,ru,61.97657295944211,72.62161272721434,No Data from API,No Data from API,No Data from API,No Data from API
1411,karpogory,ru,63.91410208416028,44.47654983021977,13.48,52,0,4.5
1412,sturgeon bay,us,44.86639861161436,-87.20384388013923,39.2,93,90,11.41
1419,hovd,mn,44.566289568682095,100.55298254704974,36.07,29,0,8.63
1425,ocos,gt,10.528430695626426,-95.57167391126995,79.75,69,75,1.59
1427,lata,sb,-3.748664401141937,165.80415563922048,No Data from API,No Data from API,No Data from API,No Data from API
1431,guadalupe y calvo,mx,26.97809658365641,-106.88294126127344,57.22,31,56,4.72
1435,novaya igirma,ru,57.32256942248688,104.55384626094332,22.53,68,56,6.62
1439,ceres,za,-32.53482019752438,19.462254652486337,79.63,21,0,6.17
1440,sinnamary,gf,13.379584616481722,-47.451098222818814,77.74,100,80,10.98
1441,khuzdar,pk,27.07397864076833,66.25466223110391,70.27,19,0,6.17
1443,maltahohe,na,-24.17177911344143,15.806055049426277,76.48,48,80,5.39
1445,bereda,so,11.935511123294077,51.28624045614188,No Data from API,No Data from API,No Data from API,No Data from API
1448,bonfim,br,1.4701150948376807,-58.33860130158905,80.6,54,75,10.29
1450,ballina,ie,58.48153274358634,-12.886764939947142,42.8,75,75,14.99
1462,goundam,ml,17.351581193639618,-3.913075238979104,96.96,16,0,11.43
1465,cockburn harbour,tc,22.752542928194416,-71.70391640546259,No Data from API,No Data from API,No Data from API,No Data from API
1467,half moon bay,us,32.119314254970234,-132.87673330077942,49.44,87,1,10.29
1468,nolinsk,ru,57.546253750291356,49.849616835659305,21.4,90,88,6.96
1471,chifeng,cn,43.64386164569771,120.07878961923694,54.93,42,64,6.17
1472,kaseda,jp,31.27007511722546,130.03767495917788,61.68,100,100,4.61
1473,yamada,jp,39.12989108924043,142.75711900038743,50,66,0,3.36
1476,schoneiche,de,52.080508280538226,13.622691231763326,45.52,48,75,3.36
1478,ruatoria,nz,-37.02081824895983,178.28769530821046,No Data from API,No Data from API,No Data from API,No Data from API
1479,maumere,id,-8.290881487115612,122.25453355900635,82.11,100,20,4.61
1481,duz,tn,31.22600658276866,8.727261591605355,No Data from API,No Data from API,No Data from API,No Data from API
1490,murwara,in,23.72505708682702,80.25317691569273,73.06,27,0,5.73
1491,kirando,tz,-7.345881392477722,30.182840346642763,78.91,96,12,4.38
1495,moranbah,au,-22.477966272694772,146.71857522201748,74.1,81,12,10.42
1496,zhigansk,ru,68.47048865846918,123.54930517503124,-5.11,68,0,2.37
1498,luyang,cn,33.483676916548546,113.0916183328593,66.2,68,0,11.18
1499,neuquen,ar,-37.156207579233254,-68.39390944515137,62.6,42,0,3.36
1507,miri,my,2.775336026635216,114.86522680520238,78.8,94,75,2.24
1516,koulikoro,ml,13.064911467014255,-7.04675517012663,102.2,3,0,9.17
1519,slave lake,ca,55.474844206803425,-114.25503557420413,14,92,90,14.99
1522,gushikawa,jp,23.903887132415193,131.77404101398872,67.06,82,20,4.7
1525,manaure,co,14.573836524646453,-73.35476030825905,84.2,62,75,13.87
1526,takoradi,gh,4.585954385540518,-1.4333171991174822,84.31,90,44,10.65
1529,excelsior springs,us,40.01957964189995,-93.78168550814348,40.59,86,90,8.05
1532,awash,et,9.290825899875415,40.16992178872027,83.46,20,0,6.62
1536,tiszavasvari,hu,47.9494020392967,21.334661256419764,48.2,86,75,5.82
1538,brighton,gb,50.85571927031259,-0.13143937412502282,55.87,87,40,16.11
1547,phuket,th,7.837263892764597,98.50938564037915,83.01,66,20,4.7
1555,tigil,ru,57.46305953733011,158.42026693545046,15.73,79,76,5.39
1557,taburi,ph,9.192660282613772,115.59425664594681,No Data from API,No Data from API,No Data from API,No Data from API
1558,karratha,au,-18.890724476808614,114.30791480355265,86.25,54,0,9.98
1559,kiknur,ru,57.190787027387074,47.01732993412284,24.01,80,88,4.94
1567,cururupu,br,-0.9989005725886813,-43.63214132488778,86.2,89,8,6.29
1568,stende,lv,57.107703746915774,22.466337963121305,30.2,54,0,11.41
1571,hualmay,pe,-22.732973704078788,-96.06924945876864,74.28,72,12,4.38
1576,urgut,uz,39.041388261839955,67.27641741394231,51.8,81,40,13.87
1577,savelugu,gh,10.1493080283593,-0.30426558275217985,104.2,24,0,4.61
1578,ghatal,in,22.703475154450317,87.77686098004807,77.11,51,0,2.37
1579,kurinjippadi,in,11.673960086645096,79.61570781440554,80.58,94,0,8.19
1581,champua,in,21.66633577779386,85.88459408982402,72.97,40,0,4.5
1584,vao,nc,-24.606467638518538,166.64827720270944,79.99,97,92,22.28
1592,kalmar,se,56.764781524193126,16.37301937214059,32,79,40,9.17
1593,hastings,nz,-40.65724733663076,177.7951093537239,64.69,95,0,14.79
1594,taiyuan,cn,38.00622605217589,111.70887559080785,60.8,23,0,4.47
1597,sept-iles,ca,54.529703801287695,-68.03745143066548,32,67,40,6.93
1598,xiaoweizhai,cn,25.303696766217556,106.95170127001376,53.31,95,68,2.15
1602,tahta,eg,25.21280099380843,29.187468438347395,87.8,19,0,11.41
1605,labuhan,id,-13.742328683381245,98.74242400152235,73.24,96,32,1.59
1606,imeni poliny osipenko,ru,52.831060654093875,136.3529649358901,25.81,74,64,3.71
1612,ambanja,mg,-13.686627018133152,48.54953658184766,82.4,96,40,6.93
1613,puerto madryn,ar,-42.22514013801274,-66.44162824325343,65.86,69,80,7.29
1615,auki,sb,-2.73397958302877,164.68869338974207,79.27,100,32,2.15
1617,chute-aux-outardes,ca,50.01932139456568,-68.93712123239986,32.99,74,1,8.05
1618,skiros,gr,39.44785267720454,24.583014945162773,No Data from API,No Data from API,No Data from API,No Data from API
1619,shelburne,ca,38.60855048847,-62.688833206133296,36.77,98,90,13.87
1620,karaul,ru,74.1683257394804,85.15401417244982,No Data from API,No Data from API,No Data from API,No Data from API
1621,batetskiy,ru,58.91937304274879,30.73605285321588,27.16,59,8,5.17
1625,arona,es,25.881260906368254,-17.615878740775884,67.89,56,20,21.92
1629,muisne,ec,3.3367874084581928,-83.29531325835286,73.51,100,100,3.83
1632,jalu,ly,27.69626739200376,25.36640847483443,86.43,30,20,5.61
1634,coolum beach,au,-25.60011182793751,156.8436715113068,73.06,100,80,8.75
1641,eureka,us,40.902472643881424,-134.3509270833237,44.62,81,20,3.36
1642,oktyabrskiy,ru,52.7184064183173,153.54903732278268,27.07,68,40,13.42
1643,rodez,fr,44.212332251930576,2.7237297006491588,48,93,92,18.34
1649,pundaguitan,ph,4.9372020356197055,128.82229476042335,83.41,98,0,4.05
1653,denpasar,id,-9.822143131149346,115.27380837741481,73.24,100,56,1.36
1654,tevriz,ru,58.87188245098292,72.7758703051108,29.28,88,88,9.42
1660,dargaville,nz,-36.64886574895549,172.93185523386728,59.38,92,44,6.17
1673,zharkent,kz,44.67259116749301,80.6849130494046,36.07,87,64,0.92
1674,masaguisi,ph,12.770892589357288,121.22275449917106,69.15,89,24,2.37
1676,bedele,et,8.67234803447839,36.31778411008008,76.48,62,0,2.48
1681,dwarka,in,19.547130327763725,66.48192229092598,87.8,23,0,4.7
1683,tautira,pf,-17.2968581493012,-143.80233749204714,78.8,78,64,3.36
1688,netrakona,bd,25.27191174805654,90.86814989135416,69.55,95,0,8.63
1691,libourne,fr,44.841948199553116,-0.030756989981682636,54.55,100,90,19.46
1699,kushva,ru,58.34653959091776,59.67456713385886,21.04,70,76,2.59
1703,novosergiyevka,ru,52.238254100373865,53.53098863017556,30.13,94,64,10.09
1705,isangel,vu,-24.778465228094547,177.5139851569446,79.86,100,88,20.83
1707,kochubey,ru,44.35388103982683,46.62549017459054,45.16,91,64,8.41
1718,los llanos de aridane,es,27.7379986136375,-24.171724717310838,69.8,60,75,16.11
1721,guntakal,in,15.096904315355289,77.55184329814324,84.13,34,8,6.96
1724,uinskoye,ru,57.03108620134819,56.52056717055552,23.65,84,88,4.83
1728,loralai,pk,31.37052889447179,68.37145992129325,66.9,12,0,12.44
1732,bolshiye uki,ru,57.07892963501499,72.55169553262473,No Data from API,No Data from API,No Data from API,No Data from API
1733,san miguelito,ni,11.654536308562768,-85.02658045344685,79.41,100,0,22.28
1735,tarauaca,br,-10.26555381709774,-71.63123079229564,73.4,88,90,3.36
1740,loganville,us,33.899381541583864,-83.90006599532809,46.62,93,90,10.29
1744,almenara,br,-15.870323319327866,-40.60288419043309,77.2,79,88,3.38
1746,tabiauea,ki,0.26101759328683727,172.51231740323243,No Data from API,No Data from API,No Data from API,No Data from API
1754,weston,us,26.20333678699545,-80.87001565868816,40.17,30,1,4.7
1755,wheeling,us,40.11401071791278,-81.06538930167255,37.96,93,90,10.29
1759,taujica,hn,15.710899487540559,-85.93093022662728,74.41,83,76,2.15
1768,petropavlovka,ru,50.065135233871814,105.55461826340547,23.74,72,20,2.82
1773,tura,ru,67.91068019915897,101.37790862679753,17.08,71,76,6.4
1778,the valley,ai,25.110468170180994,-61.08901139817637,81.46,58,40,11.41
1781,koslan,ru,66.49971587693804,48.45099025518414,9.93,61,0,4.16
1788,lieksa,fi,63.84452699678005,30.386421923590092,22.71,66,48,6.17
1809,buon me thuot,vn,12.425752241951827,108.12812405114533,No Data from API,No Data from API,No Data from API,No Data from API
1816,yeppoon,au,-21.25091380304704,152.21622541361995,77,78,75,8.05
1822,palmer,us,55.197605960418684,-144.75711442857178,22.44,67,90,5.82
1824,beitbridge,zw,-21.515577920646905,30.697358155321552,80.53,61,12,12.66
1825,bria,cf,6.477288824402322,22.040816805138803,89.44,50,20,9.75
1826,galesong,id,-6.274782618064805,118.18804112736262,77,94,20,1.12
1832,nome,us,68.66115632533658,-162.2845669085207,75.63,69,75,12.75
1838,bargal,so,10.04218276231181,58.46876624942254,No Data from API,No Data from API,No Data from API,No Data from API
1841,tala,mx,20.64786561303157,-103.63994187344765,59,44,5,3.27
1842,turayf,sa,30.706489676489042,39.298564155692105,86,17,76,11.41
1849,prince rupert,ca,46.97020156608755,-135.9950093513313,41,86,90,16.11
1853,luanda,ao,-9.763449513204009,12.14334674906712,86,70,75,14.99
1854,oktyabrskoye,ru,62.84818274710079,66.92107858472548,27.16,77,88,10.31
1858,avon lake,us,41.81862905645761,-82.07852349821005,42.06,87,90,17.22
1863,gigmoto,ph,15.0965913116069,126.8606770353486,78.91,100,88,16.02
1869,soyo,ao,-8.633088589207333,8.229672549172818,83.28,82,56,7.63
1874,scottsburgh,za,-31.70604175236918,32.81404960420801,No Data from API,No Data from API,No Data from API,No Data from API
1875,kyra,ru,48.05575963390223,112.01011578699001,22.98,47,0,7.74
1879,aldan,ru,58.59281918847816,124.28425525175322,14.56,63,64,6.73
1880,tabarqah,tn,37.631497840637905,8.265437198159674,No Data from API,No Data from API,No Data from API,No Data from API
1881,poroschia,ro,43.95290742194916,25.373831783194532,42.19,99,48,8.52
1882,kawana waters,au,-25.877355078078097,157.35638292101214,No Data from API,No Data from API,No Data from API,No Data from API
1894,constantine,dz,36.09135850264519,7.314385595758324,53.6,54,40,16.11
1898,vallenar,cl,-28.98869821036476,-71.11959452417973,69.15,71,0,2.37
1904,vaitape,pf,-16.699622409878558,-153.80944970383126,82.15,100,64,16.69
1911,ndola,zm,-12.538430031999354,29.389850683232538,79.05,60,76,9.19
1916,brae,gb,63.44990302768585,-2.2626740450928935,40.23,86,40,27.51
1919,cockburn town,tc,27.308630087183474,-68.83554165377807,72.16,100,92,19.71
1921,khasan,ru,42.279054737636756,130.84998822386825,31.98,98,0,2.59
1923,gardan diwal,af,34.204935144646655,67.75264995089029,No Data from API,No Data from API,No Data from API,No Data from API
1927,la tuque,ca,47.86988034290434,-72.31988541211578,38.5,53,36,6.51
1930,kabompo,zm,-13.757823675167813,23.751177173372497,83.86,59,24,7.4
1935,axim,gh,-4.204891373363068,-3.7106407969388897,83.32,96,0,14.12
1940,mayumba,ga,-5.586092275880105,8.324557557198915,81.61,100,68,8.3
1944,salym,ru,60.374833348403456,72.00448159402231,18.88,69,80,4.16
1945,labutta,mm,15.92004083933901,93.12818571931541,No Data from API,No Data from API,No Data from API,No Data from API
1946,ardmore,us,34.35004289480602,-96.88116668775068,57.22,100,90,11.41
1948,naifaru,mv,5.1247734893889145,74.98412122415303,82.51,100,56,4.05
1953,tuusula,fi,60.463052401841225,24.964937811943685,28.4,46,20,12.75
1966,santa luzia,br,-8.060990970990446,-47.643400946980734,78.35,57,20,6.93
1967,buchanan,lr,3.7517460738533686,-10.378224770107522,89.6,62,75,16.11
1972,fort nelson,ca,59.0950930533746,-123.59180065456164,6.8,84,90,2.24
1980,umm kaddadah,sd,14.324435555475503,28.445873029895836,101.23,8,0,4.61
1982,chiang rai,th,19.707737060533674,99.04145675042344,75.2,94,75,4.7
1989,handan,cn,36.55246908286706,114.62308920893628,69.73,24,0,11.77
1991,fort saint john,ca,57.80451906583559,-120.18589212101601,No Data from API,No Data from API,No Data from API,No Data from API
1992,vostok,ru,52.41557110899848,149.89540468728188,36.88,76,88,4.83
1993,atherton,au,-18.081301555718937,142.00703006815934,78.8,88,75,8.05
1995,mildura,au,-33.03840606710579,142.25727309872588,56.91,67,0,9.64
1998,darab,ir,29.319262601065674,54.77308652112211,66.22,23,0,1.59
1999,kongwa,tz,-5.857731781433884,36.44672429363487,74.05,69,32,8.41
